# Image repository -> upstream source -> SPDX license, for the airgap bundle SBOM.
#
# WHY THIS FILE EXISTS: the bundle redistributes ~100 container images. A normal
# install pulls them from their own registries, which is not redistribution; the
# bundle hands them over as one tarball, which is. That flips the licensing
# question from "what do we depend on" to "what are we distributing, and under
# what terms" — and the answer is not uniformly Apache-2.0.
#
# NOT GUESSED. Every row was resolved from the upstream repository's own license
# via `gh api repos/<owner>/<repo>/license`; the handful GitHub cannot classify
# were read out of the upstream LICENSE/COPYING file and carry a note. Guessing a
# license here would be worse than leaving it blank, because a wrong SPDX id in an
# SBOM is repeated downstream as fact.
#
# Refresh with: scripts/airgap/lib/refresh-component-licenses.sh
# (re-resolves every row from upstream; overrides below are preserved by hand)
#
# TERMS THAT ARE NOT "just Apache-2.0" — the reason to read this file:
#   AGPL-3.0    grafana, loki, loki-canary, tempo. Network use counts as
#               distribution: users interacting over a network must be offered
#               the source. Redistributing the bundle makes that your obligation.
#   (RSALv2/SSPLv1 — REMOVED, kept here as a decision record)
#               ArgoCD's upstream install.yaml pins redis 8.x, which is tri-licensed
#               RSALv2 / SSPLv1 / AGPLv3; the first two are source-available, NOT OSI
#               open source, and RSALv2 forbids offering the software as a managed
#               service to third parties. 13-argocd.sh now repoints argocd-redis at
#               valkey (BSD-3-Clause), so no such image reaches the bundle. If a row
#               for public.ecr.aws/docker/library/redis reappears here, that swap
#               regressed — fix the swap, do not add the row.
#   MPL-2.0     openbao, vault-k8s. File-level copyleft: modified files stay MPL.
#   GPL-2.0     busybox, frr. Source-offer obligation on distribution.
#
# image repository	upstream source	SPDX license	note
apache/apisix	apache/apisix	Apache-2.0	
apache/apisix-ingress-controller	apache/apisix-ingress-controller	Apache-2.0	
busybox	busybox/busybox	GPL-2.0-only	upstream is git.busybox.net, not GitHub
chrislusf/seaweedfs	seaweedfs/seaweedfs	Apache-2.0	
docker.gitea.com/gitea	go-gitea/gitea	MIT	
docker.io/alpine/git	alpinelinux/docker-alpine	MIT	
docker.io/alpine/k8s	alpinelinux/docker-alpine	MIT	
docker.io/grafana/alloy	grafana/alloy	Apache-2.0	
docker.io/grafana/grafana	grafana/grafana	AGPL-3.0	
docker.io/grafana/loki	grafana/loki	AGPL-3.0	
docker.io/grafana/loki-canary	grafana/loki	AGPL-3.0	
docker.io/grafana/tempo	grafana/tempo	AGPL-3.0	
docker.io/hashicorp/vault-k8s	hashicorp/vault-k8s	MPL-2.0	
docker.io/kiwigrid/k8s-sidecar	kiwigrid/k8s-sidecar	MIT	
docker.io/kubernetesui/dashboard-api	kubernetes/dashboard	Apache-2.0	
docker.io/kubernetesui/dashboard-auth	kubernetes/dashboard	Apache-2.0	
docker.io/kubernetesui/dashboard-metrics-scraper	kubernetes/dashboard	Apache-2.0	
docker.io/kubernetesui/dashboard-web	kubernetes/dashboard	Apache-2.0	
docker.io/library/busybox	busybox/busybox	GPL-2.0-only	upstream is git.busybox.net, not GitHub
docker.io/library/registry	distribution/distribution	Apache-2.0	
docker.io/otwld/velero-ui	otwld/velero-ui	Apache-2.0	
docker.io/valkey/valkey	valkey-io/valkey	BSD-3-Clause	
docker.io/velero/velero	vmware-tanzu/velero	Apache-2.0	
gcr.io/kaniko-project/executor	GoogleContainerTools/kaniko	Apache-2.0	
ghcr.io/chaos-mesh/chaos-daemon	chaos-mesh/chaos-mesh	Apache-2.0	
ghcr.io/chaos-mesh/chaos-mesh	chaos-mesh/chaos-mesh	Apache-2.0	
ghcr.io/cloudnative-pg/cloudnative-pg	cloudnative-pg/cloudnative-pg	Apache-2.0	
ghcr.io/cloudnative-pg/pgbouncer	cloudnative-pg/pgbouncer-containers	Apache-2.0	
ghcr.io/cloudnative-pg/postgresql	cloudnative-pg/postgres-containers	Apache-2.0	
ghcr.io/dasomel/goharbor/harbor-core	goharbor/harbor	Apache-2.0	
ghcr.io/dasomel/goharbor/harbor-jobservice	goharbor/harbor	Apache-2.0	
ghcr.io/dasomel/goharbor/harbor-portal	goharbor/harbor	Apache-2.0	
ghcr.io/dasomel/goharbor/harbor-registryctl	goharbor/harbor	Apache-2.0	
ghcr.io/dasomel/goharbor/nginx-photon	goharbor/harbor	Apache-2.0	
ghcr.io/dasomel/goharbor/redis-photon	goharbor/harbor	Apache-2.0	
ghcr.io/dasomel/goharbor/registry-photon	goharbor/harbor	Apache-2.0	
